iter	Passed	Remaining
651	98980	128735
652	99134	128586
653	99279	128425
654	99423	128264
655	99560	128092
656	99696	127921
657	99836	127754
658	99969	127578
659	100105	127406
660	100248	127244
661	100385	127073
662	100518	126899
663	100659	126734
664	100802	126571
665	100933	126394
666	101069	126223
667	101208	126056
668	101343	125884
669	101493	125730
670	101642	125575
671	101785	125414
672	101933	125258
673	102074	125093
674	102242	124962
675	102413	124835
676	102576	124697
677	102716	124532
678	102880	124395
679	103034	124246
680	103168	124074
681	103311	123912
682	103444	123739
683	103579	123568
684	103722	123406
685	103862	123241
686	104002	123077
687	104137	122906
688	104274	122738
689	104417	122576
690	104554	122409
691	104694	122244
692	104829	122074
693	104972	121913
694	105116	121753
695	105265	121599
696	105409	121439
697	105549	121276
698	105690	121113
699	105829	120948
700	105971	120785
701	106113	120624
702	106265	120474
703	106421	120329
704	106586	120193
705	106761	120069
706	106939	119948
707	107093	119799
708	107264	119670
709	107426	119530
710	107584	119386
711	107737	119237
712	107886	119083
713	108027	118921
714	108186	118777
715	108356	118647
716	108532	118522
717	108682	118370
718	108829	118213
719	108982	118064
720	109123	117901
721	109269	117744
722	109411	117583
723	109553	117422
724	109700	117265
725	109845	117107
726	109986	116946
727	110132	116788
728	110272	116626
729	110425	116476
730	110569	116317
731	110713	116158
732	110853	115995
733	110987	115826
734	111123	115659
735	111267	115500
736	111412	115343
737	111557	115184
738	111703	115028
739	111847	114870
740	111990	114710
741	112134	114552
742	112286	114402
743	112441	114254
744	112600	114112
745	112751	113960
746	112906	113813
747	113058	113662
748	113210	113512
749	113360	113360
750	113511	113209
751	113664	113059
752	113804	112897
753	113944	112735
754	114080	112569
755	114225	112411
756	114371	112255
757	114507	112090
758	114639	111920
759	114769	111748
760	114904	111582
761	115071	111447
762	115205	111279
763	115354	111126
764	115493	110964
765	115633	110802
766	115771	110639
767	115916	110483
768	116076	110340
769	116227	110189
770	116367	110028
771	116531	109890
772	116683	109740
773	116828	109583
774	116972	109425
775	117123	109275
776	117275	109125
777	117420	108969
778	117605	108849
779	117751	108693
780	117907	108547
781	118048	108386
782	118191	108228
783	118338	108074
784	118488	107922
785	118632	107765
786	118770	107602
787	118925	107455
788	119074	107302
789	119225	107152
790	119357	106984
791	119506	106831
792	119650	106674
793	119794	106517
794	119936	106358
795	120078	106200
796	120223	106043
797	120368	105888
798	120513	105732
799	120662	105579
800	120799	105416
801	120938	105255
802	121082	105099
803	121228	104944
804	121364	104780
805	121517	104631
806	121652	104467
807	121787	104303
808	121932	104147
809	122072	103987
810	122212	103828
811	122360	103674
812	122503	103517
813	122657	103369
814	122805	103216
815	122970	103078
816	123106	102915
817	123248	102757
818	123394	102602
819	123560	102464
820	123698	102303
821	123845	102150
822	123997	102000
823	124142	101844
824	124278	101682
825	124414	101519
826	124548	101355
827	124705	101209
828	124844	101050
829	124977	100885
830	125113	100723
831	125248	100559
832	125379	100393
833	125519	100234
834	125665	100081
835	125812	99927
836	125953	99769
837	126100	99616
838	126237	99455
839	126374	99294
840	126512	99133
841	126652	98975
842	126787	98813
843	126939	98664
844	127085	98510
845	127229	98354
846	127366	98193
847	127502	98032
848	127640	97872
849	127781	97715
850	127927	97561
851	128069	97405
852	128221	97256
853	128359	97096
854	128500	96938
855	128641	96781
856	128783	96625
857	128925	96468
858	129068	96312
859	129206	96153
860	129350	95998
861	129490	95840
862	129631	95684
863	129779	95532
864	129917	95372
865	130052	95211
866	130190	95052
867	130337	94900
868	130473	94739
869	130615	94583
870	130760	94429
871	130897	94270
872	131034	94110
873	131175	93953
874	131311	93794
875	131452	93637
876	131582	93472
877	131719	93314
878	131858	93156
879	132006	93004
880	132153	92852
881	132301	92700
882	132435	92540
883	132578	92384
884	132722	92231
885	132862	92074
886	132998	91914
887	133134	91755
888	133275	91598
889	133417	91443
890	133556	91285
891	133691	91125
892	133833	90970
893	133971	90812
894	134106	90653
895	134246	90496
896	134386	90339
897	134514	90175
898	134657	90021
899	134800	89866
900	134945	89714
901	135089	89560
902	135229	89404
903	135371	89249
904	135507	89090
905	135645	88933
906	135783	88775
907	135922	88619
908	136054	88458
909	136192	88300
910	136334	88145
911	136477	87992
912	136613	87833
913	136753	87677
914	136903	87528
915	137042	87371
916	137176	87212
917	137318	87058
918	137451	86897
919	137594	86744
920	137724	86582
921	137869	86430
922	138006	86272
923	138147	86117
924	138281	85958
925	138420	85802
926	138555	85644
927	138693	85487
928	138834	85333
929	138983	85183
930	139126	85030
931	139260	84871
932	139391	84710
933	139527	84553
934	139663	84395
935	139796	84236
936	139929	84076
937	140069	83922
938	140206	83765
939	140355	83615
940	140496	83461
941	140638	83308
942	140781	83154
943	140935	83008
944	141075	82853
945	141219	82701
946	141364	82549
947	141510	82398
948	141649	82243
949	141791	82089
950	141937	81938
951	142078	81784
952	142221	81631
953	142363	81478
954	142505	81325
955	142653	81175
956	142802	81025
957	142949	80875
958	143089	80720
959	143233	80568
960	143377	80416
961	143522	80265
962	143670	80115
963	143824	79968
964	143960	79812
965	144111	79664
966	144255	79512
967	144392	79356
968	144535	79203
969	144671	79047
970	144816	78896
971	144969	78748
972	145112	78596
973	145252	78442
974	145387	78285
975	145531	78133
976	145676	77982
977	145823	77832
978	145977	77685
979	146121	77534
980	146260	77379
981	146403	77226
982	146543	77073
983	146689	76922
984	146824	76766
985	146965	76612
986	147100	76456
987	147243	76304
988	147380	76149
989	147523	75997
990	147669	75846
991	147816	75696
992	147953	75541
993	148099	75390
994	148245	75240
995	148392	75090
996	148539	74940
997	148694	74794
998	148837	74642
999	148980	74490
1000	149121	74337
1001	149263	74184
1002	149407	74033
1003	149550	73881
1004	149694	73730
1005	149837	73578
1006	149974	73423
1007	150116	73271
1008	150268	73123
1009	150411	72972
1010	150556	72821
1011	150705	72671
1012	150861	72526
1013	151007	72376
1014	151147	72223
1015	151279	72066
1016	151414	71910
1017	151553	71757
1018	151693	71604
1019	151836	71452
1020	151980	71301
1021	152113	71145
1022	152258	70994
1023	152398	70841
1024	152553	70695
1025	152692	70541
1026	152828	70387
1027	152977	70238
1028	153118	70086
1029	153264	69936
1030	153409	69785
1031	153545	69631
1032	153688	69479
1033	153829	69327
1034	153964	69172
1035	154105	69020
1036	154243	68866
1037	154385	68714
1038	154525	68562
1039	154667	68410
1040	154800	68254
1041	154939	68101
1042	155084	67951
1043	155226	67800
1044	155362	67645
1045	155499	67492
1046	155647	67343
1047	155792	67192
1048	155927	67038
1049	156061	66883
1050	156198	66729
1051	156342	66579
1052	156485	66428
1053	156624	66275
1054	156771	66126
1055	156911	65974
1056	157053	65822
1057	157199	65673
1058	157344	65523
1059	157488	65372
1060	157630	65221
1061	157773	65070
1062	157924	64922
1063	158078	64776
1064	158218	64624
1065	158358	64472
1066	158495	64319
1067	158645	64171
1068	158793	64022
1069	158942	63874
1070	159078	63720
1071	159215	63567
1072	159358	63416
1073	159499	63265
1074	159638	63113
1075	159775	62959
1076	159911	62806
1077	160050	62654
1078	160186	62501
1079	160328	62350
1080	160464	62196
1081	160603	62044
1082	160748	61894
1083	160887	61742
1084	161029	61592
1085	161175	61442
1086	161313	61290
1087	161457	61140
1088	161597	60988
1089	161746	60840
1090	161893	60691
1091	162061	60550
1092	162198	60397
1093	162338	60246
1094	162476	60094
1095	162631	59948
1096	162778	59799
1097	162918	59647
1098	163058	59496
1099	163201	59346
1100	163346	59196
1101	163498	59049
1102	163634	58896
1103	163779	58747
1104	163918	58595
1105	164062	58445
1106	164209	58296
1107	164352	58146
1108	164497	57996
1109	164645	57848
1110	164794	57700
1111	164942	57551
1112	165088	57402
1113	165226	57250
1114	165363	57098
1115	165511	56950
1116	165648	56797
1117	165789	56647
1118	165934	56497
1119	166073	56346
1120	166217	56196
1121	166364	56047
1122	166507	55897
1123	166652	55748
1124	166798	55599
1125	166941	55449
1126	167084	55299
1127	167238	55153
1128	167387	55005
1129	167524	54853
1130	167665	54702
1131	167809	54552
1132	167952	54403
1133	168096	54253
1134	168237	54102
1135	168379	53952
1136	168518	53801
1137	168659	53651
1138	168808	53502
1139	168954	53354
1140	169103	53205
1141	169255	53059
1142	169396	52908
1143	169541	52759
1144	169684	52609
1145	169820	52457
1146	169952	52304
1147	170087	52152
1148	170218	51998
1149	170355	51847
1150	170500	51698
1151	170643	51548
1152	170779	51396
1153	170917	51245
1154	171055	51094
1155	171194	50943
1156	171334	50793
1157	171473	50642
1158	171613	50491
1159	171750	50340
1160	171895	50191
1161	172044	50043
1162	172180	49892
1163	172315	49740
1164	172449	49588
1165	172589	49438
1166	172730	49288
1167	172882	49141
1168	173025	48991
1169	173170	48842
1170	173306	48691
1171	173444	48540
1172	173584	48390
1173	173725	48240
1174	173866	48090
1175	174016	47943
1176	174172	47797
1177	174318	47648
1178	174461	47499
1179	174600	47349
1180	174752	47202
